timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.0248,0.0333,1.0229,2.073,-1.151,-0.926,upright
20,-0.0277,-0.0261,1.0355,0.495,-1.327,-1.241,upright
40,0.0375,-0.0336,0.9846,0.751,1.896,1.97,upright
60,-0.0122,-0.0382,0.967,0.633,0.323,1.816,upright
80,0.0295,0.0331,0.9694,-1.63,0.015,0.659,upright
100,-0.0178,0.0397,0.9503,-0.155,-1.373,0.635,upright
120,0.0211,-0.01,1.0106,1.928,-1.083,-1.174,upright
140,-0.0233,-0.0115,0.9693,-2.742,0.973,-1.908,upright
160,-0.0638,0.0136,0.9602,0.686,1.541,-1.673,upright
180,-0.0296,0.0313,0.9462,-1.963,-1.326,-1.294,upright
200,0.0458,-0.006,0.9432,2.105,0.865,-0.317,upright
220,0.0637,0.0261,1.0219,-0.993,-0.068,2.277,upright
240,0.0306,-0.0076,0.9581,0.712,0.283,1.527,upright
260,0.0335,0.0268,1.0015,0.61,-0.656,0.549,upright
280,0.0255,0.0116,0.9772,0.649,-0.211,-1.537,upright
300,0.0145,0.0193,0.9856,2.366,0.503,1.601,upright
320,0.034,-0.0529,0.9439,0.676,-0.673,-0.839,upright
340,0.0303,0.0101,1.0074,-1.443,2.051,-3.348,upright
360,0.0452,-0.0164,1.0241,0.058,0.421,2.129,upright
380,-0.0039,-0.0646,0.9789,-3.651,-1.101,-1.299,upright
400,0.0293,-0.0205,1.0086,-2.38,0.355,-0.393,upright
420,0.045,0.068,1.0206,1.28,-1.381,-1.027,upright
440,0.0721,-0.0515,0.9913,0.677,1.417,-0.844,upright
460,0.0184,0.0164,1.0396,0.113,-0.37,1.876,upright
480,0.0493,-0.0158,1.0107,-0.161,0.127,-2.511,upright
500,0.0263,-0.0019,0.9618,-0.08,-1.381,-0.98,upright
520,0.01,0.0641,1.0336,-1.618,1.842,-0.483,upright
540,0.0601,0.0221,1.0395,1.531,-0.607,-0.821,upright
560,0.0262,0.0092,1.0368,3.715,0.43,3.084,upright
580,0.038,0.0204,0.9722,0.245,1.084,-0.247,upright
600,-0.0003,0.0021,1.0356,1.454,-0.921,1.469,upright
620,0.0154,-0.0121,1.0431,0.768,0.289,-0.011,upright
640,-0.0727,0.0287,1.0451,-3.921,-3.939,-0.731,upright
660,0.0518,0.0117,1.0172,-1.22,-1.525,0.597,upright
680,-0.0202,0.0377,1.0214,-0.185,-1.191,2.431,upright
700,0.0176,-0.055,0.9723,-3.029,1.194,-1.759,upright
720,0.0168,0.0124,1.0378,-2.284,0.914,-0.742,upright
740,0.0142,-0.0691,1.0018,0.316,0.484,0.936,upright
760,-0.0048,-0.0504,1.0192,-2.082,3.98,-0.544,upright
780,-0.0443,0.0252,0.9956,-1.103,-0.789,-0.468,upright
800,-0.0262,0.0323,1.0371,0.116,-1.125,0.481,upright
820,0.0513,0.0144,0.9932,0.588,-1.842,1.313,upright
840,0.0634,0.0252,1.0293,0.845,-1.98,2.201,upright
860,0.0551,-0.0306,0.9927,1.278,0.811,-1.597,upright
880,-0.0156,-0.0361,1.0106,1.38,1.293,-0.381,upright
900,0.0256,-0.0142,1.0353,0.157,-0.417,1.975,upright
920,0.016,-0.0084,0.971,0.006,2.402,-1.612,upright
940,0.0512,-0.0327,0.9762,1.71,-1.382,-0.393,upright
960,0.0027,0.042,1.0178,-0.677,-0.543,0.693,upright
980,-0.0069,0.0223,1.0359,1.198,-1.512,2.261,upright
1000,0.0142,0.0488,1.0181,-0.116,-2.744,2.912,upright
1020,-0.0108,0.0153,1.0321,2.317,-1.416,2.741,upright
1040,-0.0073,-0.0067,1.0644,-0.147,-0.016,-2.034,upright
1060,0.0112,-0.0729,1.0073,1.054,0.121,-1.555,upright
1080,0.0651,-0.0053,0.9825,-0.119,-1.552,-1.316,upright
1100,-0.038,-0.0252,0.9373,0.447,-0.733,-0.5,upright
1120,0.0146,-0.0165,1.0569,-1.918,0.338,0.947,upright
1140,-0.004,-0.0317,0.9647,1.772,-0.406,0.682,upright
1160,-0.0535,-0.0194,1.0138,-0.177,-0.033,-1.327,upright
1180,0.0332,-0.0054,1.0215,0.808,-0.928,-0.09,upright
1200,0.0062,-0.0266,0.9989,-1.09,-2.199,0.122,upright
1220,0.0085,0.0239,1.016,-1.27,-1.208,1.694,upright
1240,-0.0208,-0.0559,0.946,-1.168,2.683,-2.138,upright
1260,0.0402,-0.0224,0.9901,-1.404,2.662,2.103,upright
1280,-0.0246,0.014,0.952,-0.763,0.355,-0.648,upright
1300,0.0129,-0.0698,1.0709,-0.489,-2.83,-1.373,upright
1320,-0.0522,-0.0315,1.029,-0.093,1.782,1.751,upright
1340,0.056,-0.0247,0.9681,0.382,2.076,2.068,upright
1360,-0.0072,0.0152,1.0557,2.068,-2.297,1.345,upright
1380,0.025,0.0147,0.9987,-2.577,0.631,1.598,upright
1400,0.0185,-0.0613,1.0331,1.113,1.605,-1.333,upright
1420,-0.0024,-0.0246,0.995,0.012,0.578,-1.842,upright
1440,0.0212,0.0648,1.0019,0.381,-0.097,-0.604,upright
1460,-0.0186,-0.0137,1.0485,0.348,-1.667,-1.439,upright
1480,-0.0228,-0.0461,1.0141,1.41,-2.518,-1.647,upright
1500,-0.0326,-0.0275,1.0245,-2.621,0.001,0.955,upright
1520,0.0485,0.0022,1.0094,1.915,-2.169,-0.354,upright
1540,0.0276,-0.0166,1.015,1.405,0.583,1.352,upright
1560,-0.0164,-0.0435,0.9586,-2.159,1.142,-0.015,upright
1580,-0.0274,-0.0413,1.0917,0.787,-1.806,1.329,upright
1600,-0.0111,0.0312,1.0581,2.654,0.562,0.152,upright
1620,-0.0215,-0.0389,0.9685,3.201,-0.517,-1.553,upright
1640,-0.0332,-0.0685,1.0198,-1.026,0.162,-1.047,upright
1660,-0.0882,0.062,0.9972,-1.511,-1.548,-0.436,upright
1680,-0.0271,-0.0352,0.9701,0.455,1.991,-1.877,upright
1700,-0.0165,0.0302,1.0393,-1.421,-1.701,-1.254,upright
1720,-0.0067,0.0371,0.9993,-1.617,-1.341,0.86,upright
1740,-0.0358,-0.0123,1.0048,-0.495,0.268,-1.81,upright
1760,-0.0191,0.0228,0.9978,0.885,1.211,-0.054,upright
1780,0.0186,0.0222,1.0244,-0.187,0.233,1.975,upright
1800,-0.0349,0.0296,0.9041,-2.353,-1.02,0.994,upright
1820,-0.0299,-0.0377,1.0229,-1.12,-1.178,-1.35,upright
1840,-0.0475,-0.0211,1.0081,0.657,-4.901,3.702,upright
1860,-0.0552,-0.0021,0.9509,0.83,-0.908,1.183,upright
1880,-0.04,0.0336,0.9596,0.264,1.264,-0.538,upright
1900,-0.0864,-0.0662,0.9972,-2.885,0.379,-0.917,upright
1920,-0.0384,-0.0205,0.9904,0.619,0.665,-3.329,upright
1940,0.001,-0.0245,1.0472,-1.326,-2.019,-1.797,upright
1960,-0.0189,-0.0045,0.9684,-1.493,-1.726,2.112,upright
1980,-0.0204,-0.0131,0.9969,0.131,-0.513,0.516,upright
2000,0.0061,0.0003,0.9961,-0.91,0.946,-0.183,upright
2020,-0.0075,-0.0209,1.0254,-1.255,0.88,-1.37,upright
2040,-0.0302,0.0614,1.0156,0.1,1.229,1.478,upright
2060,-0.0168,-0.0225,0.9488,-1.432,2.545,0.08,upright
2080,-0.0131,0.0053,0.9703,0.063,-1.685,1.31,upright
2100,0.0235,0.0038,1.0437,2.856,-1.025,0.174,upright
2120,-0.0472,-0.0047,1.0458,1.101,-2.613,1.224,upright
2140,-0.0131,-0.056,1.024,-0.37,-1.791,-0.775,upright
2160,-0.0521,-0.0335,1.0037,-2.168,-1.494,-1.134,upright
2180,0.0002,0.0186,1.0296,1.381,-0.842,-0.658,upright
2200,-0.0575,0.0417,1.0207,1.545,-1.688,-0.131,upright
2220,-0.0295,0.0723,0.9671,-0.664,0.37,0.195,upright
2240,-0.0357,0.0045,0.9811,-2.158,1.359,0.543,upright
2260,-0.0281,0.0403,0.9455,-1.212,1.66,0.42,upright
2280,-0.0136,-0.0179,1.0316,0.408,0.045,0.453,upright
2300,0.0186,-0.0401,0.9708,-2.67,-0.153,-1.612,upright
2320,-0.003,-0.0689,1.0575,-1.032,0.989,-3.813,upright
2340,0.0313,-0.0146,0.9596,1.11,0.659,-0.104,upright
2360,-0.0224,0.0066,1.0308,1.203,0.27,0.646,upright
2380,-0.0399,-0.0185,0.9932,0.009,1.242,1.394,upright
2400,0.0077,0.0056,0.9605,3.032,0.298,-3.121,upright
2420,-0.0018,-0.0137,0.9924,-2.202,0.468,-0.245,upright
2440,0.0037,0.014,0.9758,0.631,-0.368,2.564,upright
